"Date Printed: Monday, August 10, 2026 2:43:04 PM"
Title: "Chlamydia | Gonorrhea | Primary and Secondary Syphilis | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 15-19 | 20-24 | 25-29""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
"Gonorrhea","2022","Rhode Island","44","15-19","172","239.4"
"Gonorrhea","2022","Rhode Island","44","20-24","353","454.7"
"Gonorrhea","2022","Rhode Island","44","25-29","304","419.3"
"Primary and Secondary Syphilis","2022","Rhode Island","44","15-19","8","11.1"
"Primary and Secondary Syphilis","2022","Rhode Island","44","20-24","15","19.3"
"Primary and Secondary Syphilis","2022","Rhode Island","44","25-29","12","16.6"
"Chlamydia","2022","South Carolina","45","15-19","9,848","2878.9"
"Chlamydia","2022","South Carolina","45","20-24","13,044","3688.9"
"Chlamydia","2022","South Carolina","45","25-29","6,117","1867.5"
"Gonorrhea","2022","South Carolina","45","15-19","2,705","790.8"
"Gonorrhea","2022","South Carolina","45","20-24","4,355","1231.6"
"Gonorrhea","2022","South Carolina","45","25-29","2,746","838.3"
"Primary and Secondary Syphilis","2022","South Carolina","45","15-19","43","12.6"
"Primary and Secondary Syphilis","2022","South Carolina","45","20-24","174","49.2"
"Primary and Secondary Syphilis","2022","South Carolina","45","25-29","182","55.6"
"Chlamydia","2022","South Dakota","46","15-19","1,270","2070.2"
"Chlamydia","2022","South Dakota","46","20-24","1,664","2638.5"
"Chlamydia","2022","South Dakota","46","25-29","898","1584.0"
"Gonorrhea","2022","South Dakota","46","15-19","429","699.3"
"Gonorrhea","2022","South Dakota","46","20-24","606","960.9"
"Gonorrhea","2022","South Dakota","46","25-29","573","1010.7"
"Primary and Secondary Syphilis","2022","South Dakota","46","15-19","48","78.2"
"Primary and Secondary Syphilis","2022","South Dakota","46","20-24","106","168.1"
"Primary and Secondary Syphilis","2022","South Dakota","46","25-29","137","241.7"
"Chlamydia","2022","Tennessee","47","15-19","9,276","2106.2"
"Chlamydia","2022","Tennessee","47","20-24","13,898","2913.1"
"Chlamydia","2022","Tennessee","47","25-29","7,185","1488.9"
"Gonorrhea","2022","Tennessee","47","15-19","2,623","595.6"
"Gonorrhea","2022","Tennessee","47","20-24","4,540","951.6"
"Gonorrhea","2022","Tennessee","47","25-29","3,399","704.3"
"Primary and Secondary Syphilis","2022","Tennessee","47","15-19","51","11.6"
"Primary and Secondary Syphilis","2022","Tennessee","47","20-24","182","38.1"
"Primary and Secondary Syphilis","2022","Tennessee","47","25-29","224","46.4"
"Chlamydia","2022","Texas","48","15-19","36,772","1708.2"
"Chlamydia","2022","Texas","48","20-24","54,762","2499.2"
"Chlamydia","2022","Texas","48","25-29","29,117","1364.5"
"Gonorrhea","2022","Texas","48","15-19","10,383","482.3"
"Gonorrhea","2022","Texas","48","20-24","17,669","806.4"
"Gonorrhea","2022","Texas","48","25-29","12,315","577.1"
"Primary and Secondary Syphilis","2022","Texas","48","15-19","252","11.7"
"Primary and Secondary Syphilis","2022","Texas","48","20-24","837","38.2"
"Primary and Secondary Syphilis","2022","Texas","48","25-29","885","41.5"
"Chlamydia","2022","Utah","49","15-19","2,321","846.4"
"Chlamydia","2022","Utah","49","20-24","3,996","1336.1"
"Chlamydia","2022","Utah","49","25-29","2,152","832.9"
"Gonorrhea","2022","Utah","49","15-19","305","111.2"
"Gonorrhea","2022","Utah","49","20-24","776","259.5"
"Gonorrhea","2022","Utah","49","25-29","693","268.2"
"Primary and Secondary Syphilis","2022","Utah","49","15-19","9","3.3"
"Primary and Secondary Syphilis","2022","Utah","49","20-24","35","11.7"
"Primary and Secondary Syphilis","2022","Utah","49","25-29","46","17.8"
"Chlamydia","2022","Vermont","50","15-19","318","765.1"
"Chlamydia","2022","Vermont","50","20-24","462","1006.6"
"Chlamydia","2022","Vermont","50","25-29","200","531.5"
"Gonorrhea","2022","Vermont","50","15-19","9","21.7"
"Gonorrhea","2022","Vermont","50","20-24","40","87.1"
"Gonorrhea","2022","Vermont","50","25-29","41","109.0"
"Primary and Secondary Syphilis","2022","Vermont","50","15-19","0","0.0"
"Primary and Secondary Syphilis","2022","Vermont","50","20-24","0","0.0"
"Primary and Secondary Syphilis","2022","Vermont","50","25-29","0","0.0"
"Chlamydia","2022","Virginia","51","15-19","8,106","1452.8"
"Chlamydia","2022","Virginia","51","20-24","15,916","2671.2"
"Chlamydia","2022","Virginia","51","25-29","7,980","1386.1"
"Gonorrhea","2022","Virginia","51","15-19","1,628","291.8"
"Gonorrhea","2022","Virginia","51","20-24","3,910","656.2"
"Gonorrhea","2022","Virginia","51","25-29","2,821","490.0"
"Primary and Secondary Syphilis","2022","Virginia","51","15-19","30","5.4"
"Primary and Secondary Syphilis","2022","Virginia","51","20-24","134","22.5"
"Primary and Secondary Syphilis","2022","Virginia","51","25-29","194","33.7"
"Chlamydia","2022","Washington","53","15-19","5,402","1175.4"
"Chlamydia","2022","Washington","53","20-24","9,625","1914.3"
"Chlamydia","2022","Washington","53","25-29","5,232","932.6"
"Gonorrhea","2022","Washington","53","15-19","767","166.9"
"Gonorrhea","2022","Washington","53","20-24","2,137","425.0"
"Gonorrhea","2022","Washington","53","25-29","2,215","394.8"
"Primary and Secondary Syphilis","2022","Washington","53","15-19","40","8.7"
"Primary and Secondary Syphilis","2022","Washington","53","20-24","192","38.2"
"Primary and Secondary Syphilis","2022","Washington","53","25-29","302","53.8"
"Chlamydia","2022","West Virginia","54","15-19","1,117","1034.4"
"Chlamydia","2022","West Virginia","54","20-24","1,785","1537.8"
"Chlamydia","2022","West Virginia","54","25-29","693","660.9"
"Gonorrhea","2022","West Virginia","54","15-19","131","121.3"
"Gonorrhea","2022","West Virginia","54","20-24","344","296.4"
"Gonorrhea","2022","West Virginia","54","25-29","236","225.1"
"Primary and Secondary Syphilis","2022","West Virginia","54","15-19","3","2.8"
"Primary and Secondary Syphilis","2022","West Virginia","54","20-24","17","14.6"
"Primary and Secondary Syphilis","2022","West Virginia","54","25-29","35","33.4"
"Chlamydia","2022","Wisconsin","55","15-19","6,655","1735.1"
"Chlamydia","2022","Wisconsin","55","20-24","9,443","2292.9"
"Chlamydia","2022","Wisconsin","55","25-29","4,442","1207.4"
"Gonorrhea","2022","Wisconsin","55","15-19","1,788","466.2"
"Gonorrhea","2022","Wisconsin","55","20-24","2,442","592.9"
"Gonorrhea","2022","Wisconsin","55","25-29","1,567","425.9"
"Primary and Secondary Syphilis","2022","Wisconsin","55","15-19","29","7.6"
"Primary and Secondary Syphilis","2022","Wisconsin","55","20-24","101","24.5"
"Primary and Secondary Syphilis","2022","Wisconsin","55","25-29","114","31.0"
"Chlamydia","2022","Wyoming","56","15-19","451","1152.3"
"Chlamydia","2022","Wyoming","56","20-24","711","1807.6"
"Chlamydia","2022","Wyoming","56","25-29","275","784.8"
"Gonorrhea","2022","Wyoming","56","15-19","32","81.8"
"Gonorrhea","2022","Wyoming","56","20-24","81","205.9"
"Gonorrhea","2022","Wyoming","56","25-29","57","162.7"
"Primary and Secondary Syphilis","2022","Wyoming","56","15-19","2","5.1"
"Primary and Secondary Syphilis","2022","Wyoming","56","20-24","2","5.1"
"Primary and Secondary Syphilis","2022","Wyoming","56","25-29","5","14.3"
"Chlamydia","2021","Alabama","01","15-19","7,837","2421.9"
"Chlamydia","2021","Alabama","01","20-24","10,556","3207.2"
"Chlamydia","2021","Alabama","01","25-29","4,637","1429.0"
"Gonorrhea","2021","Alabama","01","15-19","2,788","861.6"
"Gonorrhea","2021","Alabama","01","20-24","4,499","1366.9"
"Gonorrhea","2021","Alabama","01","25-29","2,852","878.9"
"Primary and Secondary Syphilis","2021","Alabama","01","15-19","43","13.3"
"Primary and Secondary Syphilis","2021","Alabama","01","20-24","140","42.5"
"Primary and Secondary Syphilis","2021","Alabama","01","25-29","167","51.5"
"Chlamydia","2021","Alaska","02","15-19","1,068","2346.2"
"Chlamydia","2021","Alaska","02","20-24","1,799","3579.2"
"Chlamydia","2021","Alaska","02","25-29","1,067","1920.3"
"Gonorrhea","2021","Alaska","02","15-19","181","397.6"
"Gonorrhea","2021","Alaska","02","20-24","398","791.8"
"Gonorrhea","2021","Alaska","02","25-29","416","748.7"
"Primary and Secondary Syphilis","2021","Alaska","02","15-19","6","13.2"
"Primary and Secondary Syphilis","2021","Alaska","02","20-24","26","51.7"
"Primary and Secondary Syphilis","2021","Alaska","02","25-29","35","63.0"
"Chlamydia","2021","Arizona","04","15-19","8,503","1760.3"
"Chlamydia","2021","Arizona","04","20-24","14,835","3015.9"
"Chlamydia","2021","Arizona","04","25-29","8,264","1644.0"
"Gonorrhea","2021","Arizona","04","15-19","2,209","457.3"
"Gonorrhea","2021","Arizona","04","20-24","4,497","914.2"
"Gonorrhea","2021","Arizona","04","25-29","3,833","762.5"
"Primary and Secondary Syphilis","2021","Arizona","04","15-19","70","14.5"
"Primary and Secondary Syphilis","2021","Arizona","04","20-24","266","54.1"
"Primary and Secondary Syphilis","2021","Arizona","04","25-29","385","76.6"
"Chlamydia","2021","Arkansas","05","15-19","5,244","2600.7"
"Chlamydia","2021","Arkansas","05","20-24","6,673","3337.7"
"Chlamydia","2021","Arkansas","05","25-29","2,901","1488.8"
"Gonorrhea","2021","Arkansas","05","15-19","1,670","828.2"
"Gonorrhea","2021","Arkansas","05","20-24","2,457","1228.9"
"Gonorrhea","2021","Arkansas","05","25-29","1,531","785.7"
"Primary and Secondary Syphilis","2021","Arkansas","05","15-19","50","24.8"
"Primary and Secondary Syphilis","2021","Arkansas","05","20-24","162","81.0"
"Primary and Secondary Syphilis","2021","Arkansas","05","25-29","187","96.0"
"Chlamydia","2021","California","06","15-19","29,261","1138.4"
"Chlamydia","2021","California","06","20-24","63,097","2484.4"
"Chlamydia","2021","California","06","25-29","41,138","1450.9"
"Gonorrhea","2021","California","06","15-19","7,441","289.5"
"Gonorrhea","2021","California","06","20-24","18,995","747.9"
"Gonorrhea","2021","California","06","25-29","19,815","698.9"
"Primary and Secondary Syphilis","2021","California","06","15-19","277","10.8"
"Primary and Secondary Syphilis","2021","California","06","20-24","1,155","45.5"
"Primary and Secondary Syphilis","2021","California","06","25-29","1,656","58.4"
"Chlamydia","2021","Colorado","08","15-19","6,056","1621.5"
"Chlamydia","2021","Colorado","08","20-24","9,276","2451.5"
"Chlamydia","2021","Colorado","08","25-29","5,052","1137.7"
"Gonorrhea","2021","Colorado","08","15-19","1,207","323.2"
"Gonorrhea","2021","Colorado","08","20-24","2,372","626.9"
"Gonorrhea","2021","Colorado","08","25-29","2,188","492.7"
"Primary and Secondary Syphilis","2021","Colorado","08","15-19","24","6.4"
"Primary and Secondary Syphilis","2021","Colorado","08","20-24","86","22.7"
"Primary and Secondary Syphilis","2021","Colorado","08","25-29","137","30.9"
"Chlamydia","2021","Connecticut","09","15-19","3,456","1436.8"
"Chlamydia","2021","Connecticut","09","20-24","5,480","2288.7"
"Chlamydia","2021","Connecticut","09","25-29","2,714","1202.2"
"Gonorrhea","2021","Connecticut","09","15-19","803","333.8"
"Gonorrhea","2021","Connecticut","09","20-24","1,507","629.4"
"Gonorrhea","2021","Connecticut","09","25-29","1,178","521.8"
"Primary and Secondary Syphilis","2021","Connecticut","09","15-19","11","4.6"
"Primary and Secondary Syphilis","2021","Connecticut","09","20-24","40","16.7"
"Primary and Secondary Syphilis","2021","Connecticut","09","25-29","48","21.3"
"Chlamydia","2021","Delaware","10","15-19","1,351","2150.7"
"Chlamydia","2021","Delaware","10","20-24","1,814","3132.6"
"Chlamydia","2021","Delaware","10","25-29","811","1321.4"
"Gonorrhea","2021","Delaware","10","15-19","273","434.6"
"Gonorrhea","2021","Delaware","10","20-24","453","782.3"
"Gonorrhea","2021","Delaware","10","25-29","314","511.6"
"Primary and Secondary Syphilis","2021","Delaware","10","15-19","3","4.8"
"Primary and Secondary Syphilis","2021","Delaware","10","20-24","13","22.4"
"Primary and Secondary Syphilis","2021","Delaware","10","25-29","19","31.0"
"Chlamydia","2021","District of Columbia","11","15-19","1,287","3608.8"
"Chlamydia","2021","District of Columbia","11","20-24","1,745","3824.2"
"Chlamydia","2021","District of Columbia","11","25-29","1,577","2252.9"
"Gonorrhea","2021","District of Columbia","11","15-19","430","1205.7"
"Gonorrhea","2021","District of Columbia","11","20-24","816","1788.3"
"Gonorrhea","2021","District of Columbia","11","25-29","1,069","1527.1"
"Primary and Secondary Syphilis","2021","District of Columbia","11","15-19","10","28.0"
"Primary and Secondary Syphilis","2021","District of Columbia","11","20-24","24","52.6"
"Primary and Secondary Syphilis","2021","District of Columbia","11","25-29","41","58.6"
"Chlamydia","2021","Florida","12","15-19","24,430","1981.4"
"Chlamydia","2021","Florida","12","20-24","36,536","2917.5"
"Chlamydia","2021","Florida","12","25-29","19,338","1449.7"
"Gonorrhea","2021","Florida","12","15-19","6,608","535.9"
"Gonorrhea","2021","Florida","12","20-24","12,062","963.2"
"Gonorrhea","2021","Florida","12","25-29","9,111","683.0"
"Primary and Secondary Syphilis","2021","Florida","12","15-19","163","13.2"
"Primary and Secondary Syphilis","2021","Florida","12","20-24","615","49.1"
"Primary and Secondary Syphilis","2021","Florida","12","25-29","823","61.7"
"Chlamydia","2021","Georgia","13","15-19","17,720","2353.6"
"Chlamydia","2021","Georgia","13","20-24","24,881","3410.4"
"Chlamydia","2021","Georgia","13","25-29","12,291","1659.4"
"Gonorrhea","2021","Georgia","13","15-19","5,218","693.1"
"Gonorrhea","2021","Georgia","13","20-24","9,394","1287.6"
"Gonorrhea","2021","Georgia","13","25-29","6,849","924.7"
"Primary and Secondary Syphilis","2021","Georgia","13","15-19","102","13.5"
"Primary and Secondary Syphilis","2021","Georgia","13","20-24","309","42.4"
"Primary and Secondary Syphilis","2021","Georgia","13","25-29","368","49.7"
"Chlamydia","2021","Hawaii","15","15-19","980","1249.2"
"Chlamydia","2021","Hawaii","15","20-24","2,306","2627.9"
"Chlamydia","2021","Hawaii","15","25-29","1,199","1269.7"
"Gonorrhea","2021","Hawaii","15","15-19","139","177.2"
"Gonorrhea","2021","Hawaii","15","20-24","336","382.9"
"Gonorrhea","2021","Hawaii","15","25-29","265","280.6"
"Primary and Secondary Syphilis","2021","Hawaii","15","15-19","7","8.9"
"Primary and Secondary Syphilis","2021","Hawaii","15","20-24","31","35.3"
"Primary and Secondary Syphilis","2021","Hawaii","15","25-29","28","29.7"
"Chlamydia","2021","Idaho","16","15-19","1,633","1213.8"
"Chlamydia","2021","Idaho","16","20-24","2,387","1928.0"
"Chlamydia","2021","Idaho","16","25-29","1,103","891.0"
"Gonorrhea","2021","Idaho","16","15-19","144","107.0"
"Gonorrhea","2021","Idaho","16","20-24","323","260.9"
"Gonorrhea","2021","Idaho","16","25-29","246","198.7"
"Primary and Secondary Syphilis","2021","Idaho","16","15-19","2","1.5"
"Primary and Secondary Syphilis","2021","Idaho","16","20-24","12","9.7"
"Primary and Secondary Syphilis","2021","Idaho","16","25-29","20","16.2"
"Chlamydia","2021","Illinois","17","15-19","16,209","1940.3"
"Chlamydia","2021","Illinois","17","20-24","25,533","3132.5"
"Chlamydia","2021","Illinois","17","25-29","14,343","1685.0"
"Gonorrhea","2021","Illinois","17","15-19","4,775","571.6"
"Gonorrhea","2021","Illinois","17","20-24","8,113","995.3"
"Gonorrhea","2021","Illinois","17","25-29","6,868","806.9"
"Primary and Secondary Syphilis","2021","Illinois","17","15-19","62","7.4"
"Primary and Secondary Syphilis","2021","Illinois","17","20-24","249","30.5"
"Primary and Secondary Syphilis","2021","Illinois","17","25-29","283","33.2"
"Chlamydia","2021","Indiana","18","15-19","9,115","1958.5"
"Chlamydia","2021","Indiana","18","20-24","13,293","2802.1"
"Chlamydia","2021","Indiana","18","25-29","6,081","1350.0"
"Gonorrhea","2021","Indiana","18","15-19","2,442","524.7"
"Gonorrhea","2021","Indiana","18","20-24","4,102","864.7"
"Gonorrhea","2021","Indiana","18","25-29","2,970","659.4"
"Primary and Secondary Syphilis","2021","Indiana","18","15-19","37","7.9"
"Primary and Secondary Syphilis","2021","Indiana","18","20-24","123","25.9"
"Primary and Secondary Syphilis","2021","Indiana","18","25-29","156","34.6"
"Chlamydia","2021","Iowa","19","15-19","4,158","1886.4"
"Chlamydia","2021","Iowa","19","20-24","5,978","2648.8"
"Chlamydia","2021","Iowa","19","25-29","2,481","1230.6"
"Gonorrhea","2021","Iowa","19","15-19","928","421.0"
"Gonorrhea","2021","Iowa","19","20-24","1,620","717.8"
"Gonorrhea","2021","Iowa","19","25-29","1,206","598.2"
"Primary and Secondary Syphilis","2021","Iowa","19","15-19","16","7.3"
"Primary and Secondary Syphilis","2021","Iowa","19","20-24","51","22.6"
"Primary and Secondary Syphilis","2021","Iowa","19","25-29","68","33.7"
"Chlamydia","2021","Kansas","20","15-19","4,087","1986.9"
"Chlamydia","2021","Kansas","20","20-24","5,767","2723.3"
"Chlamydia","2021","Kansas","20","25-29","2,408","1259.9"
"Gonorrhea","2021","Kansas","20","15-19","993","482.7"
"Gonorrhea","2021","Kansas","20","20-24","1,557","735.3"
"Gonorrhea","2021","Kansas","20","25-29","1,038","543.1"
"Primary and Secondary Syphilis","2021","Kansas","20","15-19","19","9.2"
"Primary and Secondary Syphilis","2021","Kansas","20","20-24","48","22.7"
"Primary and Secondary Syphilis","2021","Kansas","20","25-29","52","27.2"
"Chlamydia","2021","Kentucky","21","15-19","4,722","1608.2"
"Chlamydia","2021","Kentucky","21","20-24","6,831","2283.9"
"Chlamydia","2021","Kentucky","21","25-29","3,228","1093.4"
"Gonorrhea","2021","Kentucky","21","15-19","1,137","387.2"
"Gonorrhea","2021","Kentucky","21","20-24","2,186","730.9"
"Gonorrhea","2021","Kentucky","21","25-29","1,746","591.4"
"Primary and Secondary Syphilis","2021","Kentucky","21","15-19","22","7.5"
"Primary and Secondary Syphilis","2021","Kentucky","21","20-24","66","22.1"
"Primary and Secondary Syphilis","2021","Kentucky","21","25-29","83","28.1"
"Chlamydia","2021","Louisiana","22","15-19","10,555","3546.6"
"Chlamydia","2021","Louisiana","22","20-24","12,285","4087.1"
"Chlamydia","2021","Louisiana","22","25-29","5,312","1746.4"
"Gonorrhea","2021","Louisiana","22","15-19","3,853","1294.6"
"Gonorrhea","2021","Louisiana","22","20-24","5,118","1702.7"
"Gonorrhea","2021","Louisiana","22","25-29","2,954","971.1"
"Primary and Secondary Syphilis","2021","Louisiana","22","15-19","75","25.2"
"Primary and Secondary Syphilis","2021","Louisiana","22","20-24","185","61.5"
"Primary and Secondary Syphilis","2021","Louisiana","22","25-29","205","67.4"
"Chlamydia","2021","Maine","23","15-19","268","338.0"
"Chlamydia","2021","Maine","23","20-24","498","662.8"
"Gonorrhea","2021","Maine","23","15-19","36","45.4"
"Gonorrhea","2021","Maine","23","20-24","110","146.4"
"Primary and Secondary Syphilis","2021","Maine","23","15-19","5","6.3"
"Primary and Secondary Syphilis","2021","Maine","23","20-24","3","4.0"
"Chlamydia","2021","Maryland","24",null,"Data suppressed","0.0"
"Gonorrhea","2021","Maryland","24",null,"Data suppressed","0.0"
"Primary and Secondary Syphilis","2021","Maryland","24",null,"Data suppressed","0.0"
"Chlamydia","2021","Massachusetts","25","15-19","5,480","1199.4"
"Chlamydia","2021","Massachusetts","25","20-24","9,901","2068.1"
"Chlamydia","2021","Massachusetts","25","25-29","5,443","1118.2"
"Gonorrhea","2021","Massachusetts","25","15-19","810","177.3"
"Gonorrhea","2021","Massachusetts","25","20-24","2,022","422.3"
"Gonorrhea","2021","Massachusetts","25","25-29","1,837","377.4"
"Primary and Secondary Syphilis","2021","Massachusetts","25","15-19","23","5.0"
"Primary and Secondary Syphilis","2021","Massachusetts","25","20-24","93","19.4"
"Primary and Secondary Syphilis","2021","Massachusetts","25","25-29","136","27.9"
"Chlamydia","2021","Michigan","26","15-19","11,786","1818.5"
"Chlamydia","2021","Michigan","26","20-24","17,084","2544.7"
"Chlamydia","2021","Michigan","26","25-29","8,230","1243.1"
"Gonorrhea","2021","Michigan","26","15-19","3,615","557.8"
"Gonorrhea","2021","Michigan","26","20-24","6,073","904.6"
"Gonorrhea","2021","Michigan","26","25-29","4,726","713.8"
"Primary and Secondary Syphilis","2021","Michigan","26","15-19","40","6.2"
"Primary and Secondary Syphilis","2021","Michigan","26","20-24","167","24.9"
"Primary and Secondary Syphilis","2021","Michigan","26","25-29","185","27.9"
"Chlamydia","2021","Minnesota","27","15-19","5,489","1464.2"
"Chlamydia","2021","Minnesota","27","20-24","7,998","2261.3"
"Chlamydia","2021","Minnesota","27","25-29","3,879","1056.3"
"Gonorrhea","2021","Minnesota","27","15-19","1,327","354.0"
"Gonorrhea","2021","Minnesota","27","20-24","2,276","643.5"
"Gonorrhea","2021","Minnesota","27","25-29","1,977","538.4"
"Primary and Secondary Syphilis","2021","Minnesota","27","15-19","18","4.8"
"Primary and Secondary Syphilis","2021","Minnesota","27","20-24","61","17.2"
"Primary and Secondary Syphilis","2021","Minnesota","27","25-29","106","28.9"
"Chlamydia","2021","Mississippi","28","15-19","6,984","3430.2"
"Chlamydia","2021","Mississippi","28","20-24","8,133","4100.2"
"Chlamydia","2021","Mississippi","28","25-29","3,696","1937.4"
"Gonorrhea","2021","Mississippi","28","15-19","2,909","1428.8"
"Gonorrhea","2021","Mississippi","28","20-24","4,116","2075.1"
"Gonorrhea","2021","Mississippi","28","25-29","2,476","1297.9"
"Primary and Secondary Syphilis","2021","Mississippi","28","15-19","68","33.4"
"Primary and Secondary Syphilis","2021","Mississippi","28","20-24","176","88.7"
"Primary and Secondary Syphilis","2021","Mississippi","28","25-29","169","88.6"
"Chlamydia","2021","Missouri","29","15-19","8,672","2172.5"
"Chlamydia","2021","Missouri","29","20-24","11,444","2846.6"
"Chlamydia","2021","Missouri","29","25-29","5,525","1367.9"
"Gonorrhea","2021","Missouri","29","15-19","2,468","618.3"
"Gonorrhea","2021","Missouri","29","20-24","4,024","1000.9"
"Gonorrhea","2021","Missouri","29","25-29","3,254","805.6"
"Primary and Secondary Syphilis","2021","Missouri","29","15-19","37","9.3"
"Primary and Secondary Syphilis","2021","Missouri","29","20-24","170","42.3"
"Primary and Secondary Syphilis","2021","Missouri","29","25-29","255","63.1"
"Chlamydia","2021","Montana","30","15-19","1,189","1753.2"
"Chlamydia","2021","Montana","30","20-24","1,444","1967.9"
"Chlamydia","2021","Montana","30","25-29","641","893.1"
"Gonorrhea","2021","Montana","30","15-19","158","233.0"
"Gonorrhea","2021","Montana","30","20-24","280","381.6"
"Gonorrhea","2021","Montana","30","25-29","278","387.4"
"Primary and Secondary Syphilis","2021","Montana","30","15-19","8","11.8"
"Primary and Secondary Syphilis","2021","Montana","30","20-24","12","16.4"
"Primary and Secondary Syphilis","2021","Montana","30","25-29","11","15.3"
"Chlamydia","2021","Nebraska","31","15-19","2,373","1713.4"
"Chlamydia","2021","Nebraska","31","20-24","3,394","2488.9"
"Chlamydia","2021","Nebraska","31","25-29","1,508","1181.1"
"Gonorrhea","2021","Nebraska","31","15-19","435","314.1"
"Gonorrhea","2021","Nebraska","31","20-24","821","602.1"
"Gonorrhea","2021","Nebraska","31","25-29","642","502.8"
"Primary and Secondary Syphilis","2021","Nebraska","31","15-19","13","9.4"
"Primary and Secondary Syphilis","2021","Nebraska","31","20-24","44","32.3"
"Primary and Secondary Syphilis","2021","Nebraska","31","25-29","39","30.5"
"Chlamydia","2021","Nevada","32","15-19","2,319","1224.9"
"Chlamydia","2021","Nevada","32","20-24","4,246","2313.5"
"Chlamydia","2021","Nevada","32","25-29","2,714","1233.5"
"Gonorrhea","2021","Nevada","32","15-19","807","426.3"
"Gonorrhea","2021","Nevada","32","20-24","1,624","884.9"
"Gonorrhea","2021","Nevada","32","25-29","1,506","684.5"
"Primary and Secondary Syphilis","2021","Nevada","32","15-19","33","17.4"
"Primary and Secondary Syphilis","2021","Nevada","32","20-24","100","54.5"
"Primary and Secondary Syphilis","2021","Nevada","32","25-29","124","56.4"
"Chlamydia","2021","New Hampshire","33","15-19","615","723.8"
"Chlamydia","2021","New Hampshire","33","20-24","1,261","1452.3"
"Chlamydia","2021","New Hampshire","33","25-29","570","652.0"
"Gonorrhea","2021","New Hampshire","33","15-19","50","58.8"
"Gonorrhea","2021","New Hampshire","33","20-24","145","167.0"
"Gonorrhea","2021","New Hampshire","33","25-29","138","157.9"
"Primary and Secondary Syphilis","2021","New Hampshire","33","15-19","0","0.0"
"Primary and Secondary Syphilis","2021","New Hampshire","33","20-24","10","11.5"
"Primary and Secondary Syphilis","2021","New Hampshire","33","25-29","13","14.9"
"Chlamydia","2021","New Jersey","34","15-19","7,442","1278.8"
"Chlamydia","2021","New Jersey","34","20-24","12,751","2303.9"
"Chlamydia","2021","New Jersey","34","25-29","6,343","1089.5"
"Gonorrhea","2021","New Jersey","34","15-19","1,596","274.2"
"Gonorrhea","2021","New Jersey","34","20-24","3,071","554.9"
"Gonorrhea","2021","New Jersey","34","25-29","2,182","374.8"
"Primary and Secondary Syphilis","2021","New Jersey","34","15-19","30","5.2"
"Primary and Secondary Syphilis","2021","New Jersey","34","20-24","153","27.6"
"Primary and Secondary Syphilis","2021","New Jersey","34","25-29","200","34.4"
"Chlamydia","2021","New Mexico","35","15-19","2,727","1914.6"
"Chlamydia","2021","New Mexico","35","20-24","4,196","2984.8"
"Chlamydia","2021","New Mexico","35","25-29","2,412","1728.8"
"Gonorrhea","2021","New Mexico","35","15-19","453","318.0"
"Gonorrhea","2021","New Mexico","35","20-24","1,064","756.9"
"Gonorrhea","2021","New Mexico","35","25-29","1,066","764.0"
"Primary and Secondary Syphilis","2021","New Mexico","35","15-19","22","15.4"
"Primary and Secondary Syphilis","2021","New Mexico","35","20-24","81","57.6"
"Primary and Secondary Syphilis","2021","New Mexico","35","25-29","139","99.6"
"Chlamydia","2021","New York","36","15-19","20,563","1701.7"
"Chlamydia","2021","New York","36","20-24","32,717","2626.8"
"Chlamydia","2021","New York","36","25-29","20,131","1462.1"
"Gonorrhea","2021","New York","36","15-19","4,843","400.8"
"Gonorrhea","2021","New York","36","20-24","9,768","784.3"
"Gonorrhea","2021","New York","36","25-29","9,557","694.1"
"Primary and Secondary Syphilis","2021","New York","36","15-19","119","9.8"
"Primary and Secondary Syphilis","2021","New York","36","20-24","397","31.9"
"Primary and Secondary Syphilis","2021","New York","36","25-29","613","44.5"
"Chlamydia","2021","North Carolina","37","15-19","16,110","2308.8"
"Chlamydia","2021","North Carolina","37","20-24","23,999","3421.8"
"Chlamydia","2021","North Carolina","37","25-29","11,834","1688.7"
"Gonorrhea","2021","North Carolina","37","15-19","4,599","659.1"
"Gonorrhea","2021","North Carolina","37","20-24","8,577","1222.9"
"Gonorrhea","2021","North Carolina","37","25-29","6,050","863.3"
"Primary and Secondary Syphilis","2021","North Carolina","37","15-19","76","10.9"
"Primary and Secondary Syphilis","2021","North Carolina","37","20-24","303","43.2"
"Primary and Secondary Syphilis","2021","North Carolina","37","25-29","378","53.9"
"Chlamydia","2021","North Dakota","38","15-19","873","1710.5"
"Chlamydia","2021","North Dakota","38","20-24","1,520","2456.9"
